"First Name","Last Name","Email","Section","Quiz 0: Introduction","Assignment 1+: More basics","Quiz 1: Basics","Assignment 1: Basics","Quiz 2: Decisions and booleans","Assignment 2: Decisions and booleans","Assignment 2+: Decisions and booleans","Project 1: Voyager","Quiz 3: While loops","Assignment 3: While loops","Assignment 3+: While loops","Project 2: Car rental","Quiz 4: For loops","Assignment 4: For loops","Assignment 4+: For loops","Assignment 5: Algorithms and git","Quiz 5: Algorithms and git","Assignment 5+: Algorithms","Project 3: Fibo and abundant","Midterm 1","Quiz 6: Strings","Assignment 6+: Strings","Assignment 6: Strings","Project 4: Passwords","Quiz 7: Functions","Assignment 7: Functions","Assignment 7+: Functions","Quiz 8: Functions","Assignment 8+: Functions for homework and fun","Assignment 8: TileTraveller","Project 5: Math functions","Quiz 9: Files and exceptions","Assignment 9: Files and exceptions","Assignment 9+: Files and Exceptions","Quiz 10: Lists","Assignment 10: Lists","Assignment 10+: Lists","Project 6: Sequence Analysis","Quiz 11: Lists and tuples","Assignment 11: Lists and tuples","Assignment 11+: Lists and tuples","Quiz 12: More on functions","Assignment 12: More on functions","Æfingapróf: Midterm 2 (2019)","Æfingaverkefni: Stock prices","Assignment 12+: Snakes and Ladders"
"Points Possible","","","","50.0","24.0","50.0","30.0","50.0","30.0","16.0","10.0","50.0","30.0","18.0","10.0","50.0","30.0","15.0","10.0","50.0","10.0","10.0","40.0","50.0","14.0","35.0","10.0","50.0","34.0","30.0","50.0","15.0","5.0","10.0","50.0","25.0","10.0","50.0","20.0","10.0","10.0","50.0","25.0","5.0","50.0","25.0","100.0","5.0","5.0"
"Daphne","Greengrass","daphne91@hsww.co.uk","Sl","0","0","0","0.0","0","0","0.0","10.0","45.0","30.0","12.0","9.0","0","0","0","10.0","0","0","10.0","34.0","0.0","0","0","4.0","0","0","0","0","0","5.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Blaise","Zabini","blaise91@hsww.co.uk","Sl","40.0","0.0","35.0","30.0","45.0","30.0","0.0","10.0","45.0","30.0","0.0","9.0","50.0","30.0","0","10.0","35.0","0","6.0","31.0","40.0","0","31.0","9.0","25.0","31.0","0","40.0","0","0.0","2.0","35.0","25.0","0","50.0","15.0","0.0","10.0","45.0","25.0","0","35.0","20.0","0.0","0","0"
"Michael","Corner","michael91@hsww.co.uk","Ra","40.0","0.0","10.0","30.0","30.0","30.0","0","10.0","30.0","30.0","0","10.0","40.0","30.0","0.0","10.0","35.0","0.0","8.0","39.0","0","0","0","7.0","15.0","5.0","0","25.0","0","0.0","10.0","25.0","25.0","0","0","0","0","10.0","25.0","25.0","0","40.0","20.0","0","0","0"
"Megan","Jones","megan91@hsww.co.uk","Hu","45.0","0.0","45.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ernie","Macmillan","ernie91@hsww.co.uk","Hu","30.0","0.0","35.0","30.0","50.0","30.0","0.0","10.0","35.0","25.0","0","0.0","0","0.0","0","10.0","50.0","0","4.0","14.0","45.0","0.0","18.0","0.0","0.0","0.0","0","50.0","0","0.0","2.0","0.0","0.0","0.0","0","0.0","5.0","0.0","50.0","10.0","0.0","0","0","0","0","0.0"
"Adrian","Pucey","adrian89@hsww.co.uk","Sl","0.0","0","0","0","0","0","0","0.0","45.0","30.0","16.0","10.0","0","0.0","0","0.0","0","0","6.0","37.0","45.0","0","25.0","7.0","30.0","31.0","0","45.0","0","5.0","9.0","0.0","25.0","0","45.0","15.0","0","0.0","35.0","25.0","0","40.0","20.0","0","0","0"
"Seamus","Finnigan","seamus91@hsww.co.uk","Gr","30.0","0.0","40.0","30.0","45.0","30.0","0","10.0","50.0","30.0","0","10.0","50.0","30.0","0","10.0","40.0","0","6.0","37.0","45.0","0","35.0","8.0","40.0","21.0","0","35.0","0","5.0","5.0","25.0","15.0","0","50.0","15.0","0","10.0","0","0","0","45.0","15.0","0","0","0"
"Zacharias","Smith","zacharias92@hsww.co.uk","Hu","45.0","15.0","45.0","30.0","50.0","30.0","16.0","10.0","45.0","30.0","18.0","9.0","50.0","30.0","12.0","10.0","35.0","5.0","8.0","40.0","35.0","5.0","35.0","7.0","30.0","34.0","15.0","35.0","0.0","5.0","8.0","45.0","25.0","5.0","50.0","20.0","10.0","10.0","50.0","25.0","0.0","35.0","23.0","0.0","0","0"
"Stephen","Cornfoot","stephen91@hsww.co.uk","Ra","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0"
