"First Name","Last Name","Email","Section","Quiz 0 (Individual): Introduction","Quiz 0 (Group): Introduction","Quiz 1 (Individual): Basics","Quiz 1 (Group): Basics","Assignment 1: Basics","Assignment 1+: More basics","Project 1: BMI","Quiz 2 (Individual): Decisions and booleans","Quiz 2 (Group): Decisions and booleans","Assignment 2: Decisions and Booleans","Assignment 2+: Decisions and booleans","Quiz 3 (Individual): While loops","Quiz 3 (Group): While loops","Assignment 3: While loops","Assignment 3+: While loops","Project 2: Commission","Quiz 4 (Individual): For loops","Quiz 4 (Group): For loops","Assignment 4: For loops","Assignment 4+: For loops","Quiz 5 (Individual): Algorithms and git","Quiz 5 (Group): Algorithms and git","Assignment 5+: Algorithms","Assignment 5: Algorithms and git","Project 3: Mult and harmonic","Midterm 1","Quiz 6 (Individual): Strings","Quiz 6 (Group): Strings","Assignment 6: Strings","Assignment 6+: Strings","Project 4: Calculator","Quiz 7 (Individual): Functions","Quiz 7 (Group): Functions","Assignment 7: Functions","Assignment 7+: Functions","Quiz 8 (Individual): Functions","Quiz 8 (Group): Functions","Assignment 8+: Functions for homework and fun","Assignment 8: TileTraveller","Quiz 9 (Individual): Files and exceptions","Quiz 9 (Group): Files and exceptions","Assignment 9: Files and Exceptions","Project 5: Hex and Decimal","Assignment 9+: Files and Exceptions","Quiz 10 (Individual): Lists","Quiz 10 (Group): Lists","Assignment 10: Lists","Assignment 10+: Lists","Project 6: Data Processing","Quiz 11 (Individual): Lists and tuples","Quiz 11 (Group): Lists and tuples","Assignment 11: Lists and tuples","Assignment 11+: Lists and tuples","Quiz 12 (Individual): More on functions","Quiz 12 (Group): More on functions","Assignment 12: More on functions","Assignment 12+: Snakes and Ladders","Project 7: Grades","Æfingapróf: Midterm 2 (2020)","Midterm 2","Assignment 13+: Functions return","Assignment 13: TileTraveller2","Project 8: Airline Seating","Quiz 13 (Individual): Dictionaries","Quiz 13 (Group): Dictionaries","Assignment 14: Dictionaries","Assignment 14+: Dictionaries","Quiz 14 (Individual): Sets and scope","Quiz 14 (Group): Sets and scope","Assignment 15: Sets","Assignment 15+: Customer Analytics","Project 9: Word classes","Æfingaverkefni: Stock prices (2019)"
"Points Possible","","","","50.0","50.0","45.0","45.0","30.0","24.0","10.0","50.0","50.0","30.0","16.0","50.0","50.0","30.0","18.0","10.0","50.0","50.0","30.0","15.0","50.0","50.0","10.0","10.0","20.0","40.0","50.0","50.0","30.0","14.0","20.0","45.0","45.0","25.0","30.0","50.0","50.0","15.0","5.0","30.0","30.0","25.0","20.0","10.0","45.0","45.0","22.0","10.0","20.0","50.0","50.0","25.0","5.0","50.0","50.0","25.0","5.0","20.0","40.0","80.0","9.0","17.0","20.0","50.0","50.0","25.0","5.0","50.0","50.0","15.0","5.0","10.0","5.0"
"Daphne","Greengrass","daphne91@hsww.co.uk","Sl","50.0","50.0","45.0","45.0","30.0","24.0","10.0","50.0","50.0","30.0","16.0","45.0","50.0","25.0","18.0","10.0","50.0","50.0","30.0","0.0","35.0","45.0","0.0","10.0","19.0","40.0","0","0","0.0","0","20.0","30.0","45.0","20.0","0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0.0","0","0","0.0","76.0","0","0","18.0","0","0","0","0","0","0","0","0","0","0"
"Blaise","Zabini","blaise91@hsww.co.uk","Sl","50.0","50.0","30.0","30.0","30.0","0.0","10.0","45.0","50.0","30.0","0.0","35.0","30.0","15.0","0.0","9.5","40.0","40.0","15.0","0","30.0","0","0","0.0","8.0","28.0","45.0","45.0","19.0","0","14.0","30.0","25.0","13.0","0.0","35.0","35.0","0","0.0","18.0","18.0","5.0","0.0","0","0.0","20.0","0.0","0","0.0","45.0","45.0","15.0","0","40.0","35.0","0.0","0","0","0","0.0","0","0","0.0","0","0","0","0","0","0","0","0","0.0","0"
"Michael","Corner","michael91@hsww.co.uk","Ra","0.0","0","35.0","45.0","30.0","0.0","10.0","45.0","50.0","30.0","0","10.0","50.0","25.0","0.0","10.0","50.0","50.0","25.0","0.0","10.0","5.0","0","10.0","20.0","35.0","25.0","40.0","20.0","0","10.0","35.0","40.0","20.0","0","37.0","40.0","0","2.0","10.0","25.0","0.0","0.0","0","35.0","45.0","7.0","0","0.0","33.0","50.0","13.0","0","35.0","45.0","10.0","0.0","9.0","0","0","0","0","9.0","35.0","45.0","5.0","0","0","0","0","0","0.0","0"
"Megan","Jones","megan91@hsww.co.uk","Hu","50.0","50.0","45.0","45.0","30.0","24.0","10.0","40.0","50.0","30.0","16.0","25.0","50.0","25.0","18.0","10.0","50.0","50.0","30.0","10.0","40.0","45.0","5.0","10.0","19.0","37.5","45.0","50.0","25.0","0.0","20.0","40.0","45.0","25.0","20.0","45.0","40.0","0.0","5.0","10.0","30.0","23.0","18.0","0.0","35.0","40.0","9.0","0.0","20.0","45.0","50.0","25.0","0.0","30.0","45.0","17.0","0.0","0.0","0.0","50.0","0.0","17.0","20.0","40.0","45.0","15.0","0.0","35.0","45.0","15.0","0.0","0.0","0"
"Ernie","Macmillan","ernie91@hsww.co.uk","Hu","0.0","0.0","0","0","0.0","0","8.0","35.0","50.0","30.0","16.0","35.0","40.0","25.0","0","10.0","35.0","40.0","10.0","1.0","30.0","25.0","5.0","10.0","19.0","38.0","40.0","50.0","25.0","0","16.0","30.0","40.0","20.0","0.0","30.0","35.0","0","5.0","10.0","20.0","15.0","17.0","0","40.0","40.0","19.0","0","0.0","45.0","50.0","15.0","0","0.0","0","0","0","0.0","0.0","0.0","0","7.0","16.0","0.0","0","0.0","0","0","0","0","0","0","0"
"Adrian","Pucey","adrian89@hsww.co.uk","Sl","20.0","45.0","45.0","45.0","30.0","24.0","10.0","50.0","50.0","30.0","16.0","35.0","40.0","15.0","5.0","10.0","50.0","50.0","30.0","1.0","45.0","45.0","0.0","10.0","19.0","39.5","45.0","50.0","29.0","0.0","20.0","45.0","45.0","25.0","18.0","50.0","50.0","0.0","5.0","25.0","25.0","25.0","20.0","0.0","40.0","45.0","23.0","0.0","20.0","50.0","45.0","25.0","0.0","45.0","45.0","25.0","0.0","0.0","0.0","77.0","0.0","17.0","10.0","35.0","50.0","25.0","0","40.0","50.0","15.0","0.0","10.0","0"
"Seamus","Finnigan","seamus91@hsww.co.uk","Gr","15.0","30.0","40.0","45.0","30.0","0.0","10.0","25.0","40.0","25.0","0.0","10.0","45.0","10.0","0.0","10.0","5.0","50.0","10.0","0.0","20.0","20.0","10.0","5.0","20.0","35.5","20.0","40.0","25.0","5.0","20.0","15.0","40.0","20.0","5.0","5.0","25.0","0.0","5.0","0.0","15.0","0.0","19.0","0.0","10.0","40.0","10.0","0.0","13.0","10.0","35.0","10.0","0","15.0","40.0","15.0","0","15.0","40.0","24.0","0","17.0","19.0","10.0","45.0","5.0","0","25.0","40.0","0.0","0","0.0","0"
"Zacharias","Smith","zacharias92@hsww.co.uk","Hu","0.0","0.0","25.0","25.0","0.0","0.0","10.0","40.0","50.0","30.0","16.0","15.0","50.0","5.0","0.0","1.0","0.0","0","0","0","0","0","0","0","4.0","35.5","40.0","45.0","0.0","0","20.0","0","0","0","0","35.0","35.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stephen","Cornfoot","stephen91@hsww.co.uk","Ra","45.0","45.0","35.0","45.0","24.0","15.0","10.0","40.0","45.0","30.0","0.0","35.0","45.0","20.0","0.0","9.0","10.0","35.0","20.0","0","30.0","35.0","0.0","5.0","9.0","34.0","30.0","0","0.0","0.0","0.0","40.0","40.0","20.0","0","40.0","50.0","0.0","5.0","25.0","25.0","15.0","0.0","0","30.0","35.0","9.0","0.0","0.0","25.0","50.0","25.0","0","30.0","35.0","11.0","0","8.0","10.0","25.0","0","17.0","11.0","20.0","45.0","10.0","0","15.0","40.0","15.0","0","0","0"
